ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	clonal_complex
609	24	2	5	72	2	5	39	
610	6	4	56	2	2	1	5	ST-48 complex
611	62	4	5	2	95	1	5	ST-48 complex
612	2	1	5	58	11	50	6	ST-49 complex
613	62	4	5	2	11	1	5	ST-48 complex
614	73	21	2	10	86	3	6	ST-52 complex
615	7	1	1	3	2	1	5	ST-21 complex
616	43	1	5	3	2	1	5	ST-21 complex
617	2	3	6	4	2	3	5	ST-22 complex
618	1	4	2	2	6	3	5	ST-61 complex
619	2	32	2	2	6	1	6	
620	1	4	2	4	6	9	17	ST-61 complex
621	2	1	5	3	2	1	3	ST-21 complex
622	1	4	1	2	6	3	6	ST-61 complex
623	4	7	10	4	1	1	6	ST-45 complex
624	14	35	27	4	11	12	5	
625	58	7	40	4	42	3	38	ST-283 complex
626	2	1	5	3	2	1	1	ST-21 complex
627	2	2	2	2	11	5	6	ST-354 complex
628	1	4	2	2	6	3	42	ST-61 complex
629	1	2	3	4	5	3	3	ST-42 complex
630	4	7	40	4	2	7	1	ST-45 complex
631	7	17	2	15	6	3	12	ST-443 complex
632	4	2	3	4	5	9	3	ST-42 complex
633	4	7	41	4	2	7	1	ST-45 complex
634	1	2	4	4	5	9	3	ST-42 complex
635	2	1	21	3	6	1	5	ST-21 complex
636	1	3	2	2	6	3	1	ST-61 complex
637	10	33	22	49	43	82	31	ST-1275 complex
638	7	2	3	4	2	9	3	ST-42 complex
639	1	1	2	3	6	1	3	
640	4	1	1	3	2	1	5	ST-21 complex
641	43	1	1	3	2	9	5	ST-21 complex
642	2	2	1	9	2	1	3	ST-21 complex
643	1	2	3	4	5	11	6	ST-42 complex
644	2	28	4	28	17	34	12	ST-573 complex
645	31	4	5	2	2	1	5	ST-206 complex
646	33	39	30	82	1	47	17	ST-828 complex
647	33	39	30	82	113	47	3	ST-828 complex
648	33	39	30	82	113	47	1	ST-828 complex
649	2	4	1	4	19	92	5	ST-48 complex
650	1	6	60	24	12	28	53	ST-508 complex
651	1	3	6	4	10	91	3	ST-22 complex
652	9	7	10	4	42	7	1	ST-45 complex
653	9	17	2	2	11	12	6	ST-354 complex
654	7	17	5	2	11	3	54	ST-353 complex
655	1	6	60	24	12	28	25	ST-508 complex
656	2	1	1	3	2	90	5	ST-21 complex
657	73	4	2	4	19	3	6	ST-658 complex
658	2	4	2	4	19	3	6	ST-658 complex
659	4	7	10	4	117	7	1	ST-45 complex
660	1	3	6	4	54	91	3	ST-22 complex
661	2	75	4	48	103	34	1	ST-661 complex
662	4	7	34	4	42	7	1	ST-45 complex
663	24	30	2	2	89	93	6	ST-460 complex
664	10	62	43	19	6	5	1	
665	4	7	6	3	2	7	1	ST-45 complex
666	8	1	6	3	17	1	1	
667	2	75	5	48	2	34	1	ST-661 complex
668	2	1	12	3	22	1	5	ST-21 complex
669	9	25	2	10	1	3	6	ST-52 complex
670	77	30	2	2	89	59	6	ST-460 complex
671	2	3	5	2	1	7	6	
672	4	7	10	4	2	20	1	ST-45 complex
673	17	2	8	5	2	2	4	ST-177 complex
674	2	4	2	2	8	1	5	ST-48 complex
675	4	7	10	4	7	1	1	ST-45 complex
676	2	4	1	2	1	1	5	ST-48 complex
677	10	81	50	99	120	76	52	ST-677 complex
678	10	1	50	99	120	76	52	ST-677 complex
679	4	7	70	4	1	7	1	ST-45 complex
680	76	93	72	104	124	96	31	
681	35	43	9	5	8	46	21	ST-682 complex
682	26	2	9	51	8	46	21	ST-682 complex
683	35	43	9	5	121	46	21	
684	64	85	71	100	121	3	55	
685	17	2	8	5	121	46	21	ST-177 complex
686	17	2	9	51	121	46	21	ST-682 complex
687	26	43	9	101	121	46	21	ST-682 complex
688	9	2	21	9	2	1	5	
689	1	2	3	4	2	9	3	ST-42 complex
690	2	52	57	26	107	29	5	ST-692 complex
691	2	59	4	27	126	24	23	
692	37	52	57	26	127	29	23	ST-692 complex
693	2	29	4	48	13	24	57	
694	2	59	4	105	126	25	23	ST-1034 complex
695	7	2	73	49	125	97	51	
696	2	1	4	28	58	25	58	ST-1332 complex
697	2	61	4	48	13	25	57	ST-1034 complex
698	2	61	4	48	22	98	23	ST-1034 complex
699	37	52	57	26	129	29	23	ST-692 complex
700	2	59	74	27	128	25	23	
701	37	15	4	105	126	25	23	
702	2	52	29	48	127	99	23	ST-702 complex
703	2	52	29	48	2	99	23	ST-702 complex
704	2	29	4	27	10	25	57	
705	2	52	29	48	127	25	23	ST-702 complex
706	4	7	10	4	42	29	1	ST-45 complex
707	37	52	57	26	130	29	23	ST-692 complex
708	7	1	73	49	125	97	51	
709	2	29	4	105	131	24	57	
710	37	29	75	48	126	25	23	
711	2	61	4	64	22	25	23	ST-1034 complex
712	4	1	1	3	1	1	5	ST-21 complex
713	12	53	2	10	11	3	3	ST-574 complex
714	33	7	10	4	1	7	1	ST-45 complex
715	1	75	4	48	103	34	1	ST-661 complex
716	8	7	4	4	1	7	1	ST-45 complex
717	9	2	5	62	4	5	1	ST-257 complex
718	2	1	5	62	2	5	6	
719	2	2	4	3	14	1	5	ST-21 complex
720	7	16	6	4	1	3	3	ST-22 complex
721	2	2	10	4	2	7	1	ST-45 complex
722	2	1	6	3	4	1	1	ST-21 complex
723	7	7	2	2	11	12	6	ST-354 complex
724	7	7	2	2	10	3	6	ST-353 complex
725	9	2	2	2	1	3	1	ST-464 complex
726	2	2	10	4	7	71	1	
727	1	28	4	28	11	34	12	ST-573 complex
728	4	53	2	10	10	3	3	ST-574 complex
729	4	10	2	2	13	12	6	ST-354 complex
730	4	10	2	2	10	12	6	ST-354 complex
731	4	4	5	2	22	12	6	
732	9	9	2	10	10	3	6	ST-52 complex
733	4	4	52	10	1	3	6	
734	4	4	10	4	2	7	1	ST-45 complex
735	4	7	73	3	1	6	6	
736	9	7	5	4	42	7	1	ST-45 complex
737	1	2	4	62	4	5	6	ST-257 complex
738	9	4	1	2	7	1	5	ST-48 complex
739	4	4	1	2	7	1	5	ST-48 complex
740	8	4	4	96	103	34	1	ST-661 complex
741	9	21	2	2	89	59	6	ST-460 complex
742	7	1	1	9	7	1	5	ST-21 complex
743	1	17	2	15	23	3	12	ST-443 complex
744	4	1	1	3	7	1	5	ST-21 complex
745	9	28	4	28	17	34	12	ST-573 complex
746	57	28	1	28	17	34	12	ST-573 complex
747	4	2	4	28	4	5	6	ST-257 complex
748	8	1	1	62	7	1	5	ST-21 complex
749	4	4	1	3	7	1	5	ST-48 complex
750	9	7	10	2	1	7	1	ST-45 complex
751	7	7	40	4	42	7	1	ST-283 complex
752	8	1	5	4	2	1	5	ST-21 complex
753	8	7	40	3	42	7	1	ST-283 complex
754	8	7	10	4	1	7	1	ST-45 complex
755	2	7	10	1	1	7	1	ST-45 complex
756	24	7	10	62	42	7	1	ST-45 complex
757	1	94	6	4	2	3	3	ST-22 complex
758	1	1	3	4	5	9	3	ST-42 complex
759	1	1	6	4	3	3	3	ST-22 complex
760	2	1	52	3	2	100	5	ST-21 complex
761	2	1	1	4	2	1	5	ST-21 complex
762	2	2	4	48	103	34	1	ST-661 complex
763	2	7	1	3	2	1	5	ST-21 complex
764	4	7	10	4	1	101	1	ST-45 complex
765	4	60	10	4	1	7	1	ST-45 complex
766	4	17	10	4	1	7	1	ST-45 complex
767	4	1	10	4	1	7	1	ST-45 complex
768	7	2	5	72	22	102	6	
769	7	3	2	15	23	3	12	ST-443 complex
770	7	1	6	62	11	67	6	
771	7	2	2	15	23	3	6	ST-443 complex
772	7	17	2	15	132	3	12	ST-443 complex
773	8	1	2	10	11	12	6	ST-354 complex
774	8	75	2	2	11	12	6	ST-354 complex
775	9	25	2	10	23	3	6	ST-52 complex
776	9	4	4	62	4	5	6	ST-257 complex
777	9	10	4	62	4	5	6	ST-257 complex
778	27	95	22	107	133	86	16	
779	60	69	1	10	11	3	6	
780	62	4	5	2	2	1	59	
781	79	55	1	10	2	68	6	
782	4	2	10	4	1	7	1	ST-45 complex
783	2	17	1	3	7	1	5	ST-21 complex
784	4	7	61	100	42	7	16	
785	2	29	4	48	131	24	23	
786	37	29	75	48	126	99	23	
787	80	96	22	100	134	103	16	
788	2	61	4	64	22	25	6	ST-1034 complex
789	10	82	62	106	3	32	50	
790	18	33	72	100	116	104	6	
791	7	97	5	2	135	68	26	
792	4	7	40	4	1	51	1	ST-45 complex
793	64	33	68	98	1	17	16	
794	10	81	50	87	120	76	52	ST-677 complex
795	2	21	5	77	2	1	5	ST-206 complex
796	9	25	2	10	22	3	16	ST-52 complex
797	2	1	1	3	2	1	17	ST-21 complex
798	2	4	4	2	6	1	5	ST-48 complex
799	18	89	77	109	122	86	16	ST-952 complex
800	27	2	22	104	43	86	62	
801	64	70	68	97	122	106	16	
802	18	100	22	104	113	105	6	
803	18	85	22	104	113	105	6	
804	2	102	2	2	6	1	5	ST-48 complex
805	76	33	77	104	2	109	31	
806	2	1	1	3	140	3	5	ST-21 complex
807	18	22	77	98	2	86	16	ST-952 complex
808	18	22	22	18	138	86	16	ST-952 complex
809	18	22	77	98	6	86	16	ST-952 complex
810	18	22	22	110	137	17	60	
811	76	101	22	104	116	86	16	
812	1	98	22	18	116	10	47	
813	2	4	2	2	2	1	5	ST-48 complex
814	2	75	4	48	141	34	1	ST-661 complex
815	2	1	5	3	3	1	5	ST-21 complex
816	24	75	4	48	141	34	1	ST-661 complex
817	7	75	4	28	17	34	12	ST-573 complex
818	35	2	8	51	121	46	21	ST-682 complex
819	4	7	10	5	1	7	1	ST-45 complex
820	1	4	2	4	6	3	17	ST-61 complex
821	22	103	4	28	11	110	6	
822	2	1	79	3	2	1	5	ST-21 complex
823	8	1	6	3	10	1	1	
824	9	2	2	2	11	5	6	ST-257 complex
825	33	39	30	82	113	47	17	ST-828 complex
826	33	39	30	114	104	35	17	ST-828 complex
827	33	39	30	82	104	56	17	ST-828 complex
828	33	39	30	82	104	43	17	ST-828 complex
829	33	39	30	82	113	43	17	ST-828 complex
830	33	39	30	79	104	47	17	ST-828 complex
831	33	39	66	82	104	44	41	ST-828 complex
832	33	39	30	79	113	43	17	ST-828 complex
833	44	106	29	28	136	1	35	
834	64	105	20	77	94	113	16	
835	64	33	76	108	146	107	61	
836	64	33	20	111	138	17	47	
837	64	19	20	100	144	3	6	
838	18	99	60	104	145	114	31	
839	18	2	22	104	134	115	31	
840	18	100	68	24	138	116	63	
841	64	99	78	104	139	108	16	
842	2	1	42	3	2	1	5	ST-21 complex
843	2	1	12	5	2	1	5	ST-21 complex
844	2	4	1	3	7	1	5	ST-48 complex
845	4	7	73	4	1	7	1	ST-45 complex
846	2	4	1	2	5	1	5	ST-48 complex
847	2	17	2	3	11	1	5	ST-21 complex
848	1	3	2	16	6	3	7	ST-61 complex
849	55	21	27	10	147	37	6	
850	2	4	1	2	7	2	5	ST-48 complex
851	64	22	71	98	94	118	5	
852	2	4	2	2	6	3	65	ST-61 complex
853	10	27	43	19	6	18	6	
854	33	38	30	82	104	43	17	ST-828 complex
855	33	39	30	79	104	35	17	ST-828 complex
856	2	1	1	3	2	1	66	ST-21 complex
857	9	2	4	6	4	5	8	ST-257 complex
858	2	2	5	2	2	1	5	ST-206 complex
859	7	17	2	15	11	3	12	ST-443 complex
860	33	39	30	79	113	47	17	ST-828 complex
861	2	1	42	3	148	1	5	ST-21 complex
862	47	55	5	10	11	3	8	ST-446 complex
863	8	2	5	53	2	3	1	ST-607 complex
864	1	4	2	117	6	3	17	ST-61 complex
865	19	24	23	20	26	16	5	
866	33	110	30	116	104	47	41	
867	33	38	30	115	104	85	17	ST-828 complex
868	81	104	81	113	143	119	67	
869	18	109	82	24	138	61	16	
870	2	111	21	3	2	1	5	ST-21 complex
871	33	108	30	79	104	85	17	ST-828 complex
872	33	39	30	82	113	44	17	ST-828 complex
873	7	17	5	2	149	26	6	ST-353 complex
874	8	17	2	15	150	3	12	ST-443 complex
875	47	4	5	10	23	120	8	ST-446 complex
876	24	1	2	2	10	3	1	ST-464 complex
877	7	112	42	62	11	67	6	
878	9	2	2	2	11	61	6	ST-354 complex
879	8	1	6	3	11	1	1	
880	7	112	5	62	23	67	6	ST-581 complex
881	9	17	52	10	10	3	1	
882	7	4	5	68	93	3	46	
883	2	17	2	3	2	1	5	ST-21 complex
884	2	29	5	2	5	1	5	ST-206 complex
885	7	17	2	15	151	3	12	ST-443 complex
886	53	38	83	82	104	43	17	ST-828 complex
887	33	38	30	82	104	85	68	ST-828 complex
888	32	39	30	82	104	44	36	ST-828 complex
889	33	39	30	82	113	47	41	ST-828 complex
890	33	38	30	82	104	35	36	ST-828 complex
891	33	39	30	118	104	64	17	ST-828 complex
892	33	38	30	115	113	43	17	ST-828 complex
893	33	39	30	78	104	35	36	ST-828 complex
894	33	39	65	82	113	47	17	ST-828 complex
895	82	38	30	82	104	35	36	
896	33	38	30	78	104	122	17	ST-828 complex
897	53	39	44	82	118	44	36	
898	32	42	30	82	104	43	17	ST-828 complex
899	33	39	30	82	113	35	17	ST-828 complex
900	32	38	30	82	152	35	17	
901	33	39	30	79	104	43	41	ST-828 complex
902	33	39	30	79	104	43	17	ST-828 complex
903	33	39	32	79	104	47	17	ST-828 complex
904	24	2	5	53	23	3	1	ST-607 complex
905	2	15	4	3	154	25	35	
906	2	4	1	2	7	1	7	ST-48 complex
907	2	1	5	17	7	11	6	ST-49 complex
908	2	2	2	4	17	3	6	ST-658 complex
909	42	1	5	17	2	11	6	ST-49 complex
910	22	25	2	10	22	3	6	ST-52 complex
911	1	2	3	4	42	9	3	ST-42 complex
912	2	1	1	88	2	1	5	ST-21 complex
913	1	2	3	27	5	9	6	ST-42 complex
914	4	2	9	5	8	46	21	ST-682 complex
915	3	1	5	17	1	11	6	ST-49 complex
916	2	1	21	3	2	123	5	ST-21 complex
917	2	21	1	3	2	1	5	ST-21 complex
918	2	4	1	4	19	1	5	ST-48 complex
919	7	53	2	15	11	3	3	ST-574 complex
920	10	27	16	119	10	5	7	ST-403 complex
921	1	3	6	4	3	3	69	ST-22 complex
922	1	1	2	83	2	3	6	
923	24	30	2	2	1	59	6	ST-460 complex
924	7	2	5	53	11	3	1	ST-607 complex
925	2	25	12	3	2	1	5	ST-21 complex
926	2	20	1	3	140	3	5	ST-21 complex
927	2	1	1	19	140	3	5	ST-21 complex
928	9	2	4	62	4	5	38	ST-257 complex
929	9	2	4	62	4	5	17	ST-257 complex
930	7	2	5	3	3	2	6	
931	8	17	5	2	11	59	6	ST-353 complex
932	10	27	59	19	10	79	7	ST-403 complex
933	10	1	59	19	10	5	7	ST-403 complex
934	1	1	59	2	10	5	7	
935	33	39	30	115	104	35	42	ST-828 complex
936	9	112	5	2	11	3	6	ST-353 complex
937	7	17	5	2	156	3	6	ST-353 complex
938	7	84	1	10	157	1	6	
939	7	2	5	2	156	3	6	ST-353 complex
940	2	4	27	122	11	3	5	
941	42	63	2	66	6	1	5	
942	2	28	4	120	155	34	35	
943	2	114	1	3	2	1	70	ST-21 complex
944	85	100	22	18	158	86	72	
945	84	106	29	28	136	1	35	ST-1287 complex
946	64	33	78	111	138	17	47	
947	76	33	77	104	43	109	31	
948	1	4	16	2	6	3	5	ST-61 complex
949	47	22	77	98	122	86	16	ST-952 complex
950	18	99	15	104	145	114	31	
951	18	100	82	24	138	116	63	
952	18	22	77	98	122	86	16	ST-952 complex
953	18	100	22	104	133	105	6	
954	64	33	22	98	123	124	16	
955	2	4	2	2	6	3	5	ST-61 complex
956	4	1	1	3	2	1	3	ST-21 complex
957	23	2	3	4	5	9	3	ST-42 complex
958	2	75	80	48	142	34	1	ST-661 complex
959	76	22	72	123	116	125	16	
960	86	39	88	82	104	127	76	
961	89	104	69	113	143	128	67	
962	33	39	30	82	104	47	36	ST-828 complex
963	33	39	30	82	161	56	17	ST-828 complex
964	88	86	86	82	162	126	75	
965	87	86	30	82	113	44	74	
966	33	39	30	79	112	47	17	ST-828 complex
967	10	27	43	19	6	5	7	ST-403 complex
968	2	1	5	3	2	54	8	ST-21 complex
969	8	10	2	10	11	12	6	ST-354 complex
970	4	3	6	4	3	3	3	ST-22 complex
971	24	21	2	15	89	59	6	ST-460 complex
972	4	7	21	4	4	7	1	ST-45 complex
973	2	4	1	4	1	62	5	ST-48 complex
974	22	15	4	4	11	3	35	
975	4	21	2	10	86	3	6	ST-52 complex
976	7	53	40	10	11	3	3	ST-574 complex
977	22	61	4	64	74	25	23	ST-1034 complex
978	47	55	5	10	23	120	8	ST-446 complex
979	4	7	10	4	11	7	1	ST-45 complex
980	22	15	29	64	74	25	23	ST-1034 complex
981	1	2	10	4	2	25	8	ST-362 complex
982	2	1	2	3	2	1	5	ST-21 complex
983	48	7	10	4	168	7	1	ST-45 complex
984	2	1	21	3	2	1	78	ST-21 complex
985	10	27	89	19	10	132	7	ST-403 complex
986	91	2	42	4	169	9	8	
987	9	17	5	10	167	3	6	ST-353 complex
988	92	1	12	3	2	1	5	ST-21 complex
989	93	30	2	2	89	59	6	ST-460 complex
990	9	2	4	62	4	133	6	ST-257 complex
991	37	52	57	26	107	29	23	ST-692 complex
992	2	59	4	27	126	29	23	
993	37	15	29	112	127	25	57	
994	37	1	29	28	58	25	58	ST-1332 complex
995	2	4	84	105	126	25	57	
996	2	29	84	48	131	25	57	
997	76	33	78	104	43	109	31	
998	4	8	10	4	1	7	1	ST-45 complex
999	64	22	85	142	134	101	16	
1000	64	22	77	98	134	94	60	
1001	64	22	77	155	134	160	16	
1002	64	33	78	18	139	86	16	
1003	8	7	4	4	125	7	1	ST-45 complex
1004	17	152	8	5	8	2	4	ST-177 complex
1005	86	86	88	102	164	130	76	
1006	86	116	88	124	162	129	17	
1007	86	86	86	124	166	129	76	
1008	86	86	87	124	160	129	73	
1009	32	66	66	82	163	43	17	
1010	33	39	30	79	104	86	17	ST-828 complex
1011	33	82	30	82	104	56	17	ST-828 complex
1012	7	2	5	10	119	3	26	
1013	1	2	3	4	5	9	17	ST-42 complex
1014	17	3	8	5	8	2	4	ST-177 complex
1015	2	1	1	3	11	3	5	ST-21 complex
1016	33	38	30	82	118	43	17	ST-828 complex
1017	33	39	30	82	104	43	41	ST-828 complex
1018	33	124	30	139	113	47	74	
1019	26	2	8	51	8	46	1	ST-682 complex
1020	26	43	9	101	8	46	21	ST-682 complex
1021	17	2	9	5	8	46	21	ST-682 complex
1022	26	43	9	51	121	46	21	ST-682 complex
1023	35	43	8	5	8	46	21	
1024	10	81	9	99	120	76	52	ST-677 complex
1025	4	7	10	148	1	7	80	ST-45 complex
1026	64	145	20	100	134	103	16	
1027	35	2	9	51	8	2	21	ST-682 complex
1028	2	15	4	48	187	25	64	
1029	2	61	4	64	126	7	24	ST-1034 complex
1030	37	4	4	48	13	25	57	
1031	2	4	4	48	13	112	57	
1032	2	15	4	48	13	25	57	
1033	2	61	4	64	126	7	23	ST-1034 complex
1034	2	61	4	64	74	25	23	ST-1034 complex
1035	7	2	5	10	10	37	1	
1036	7	84	5	10	11	3	6	ST-353 complex
1037	8	10	5	153	11	12	6	ST-354 complex
1038	8	10	5	2	11	12	6	ST-354 complex
1039	2	4	119	25	11	3	5	
1040	7	84	1	10	11	3	6	ST-574 complex
1041	2	4	119	25	89	3	5	
1042	8	10	2	2	67	12	6	ST-354 complex
1043	79	27	33	44	10	5	7	ST-403 complex
1044	2	10	2	4	19	3	6	ST-658 complex
1045	6	4	5	2	2	157	5	
1046	7	149	5	2	10	3	6	ST-353 complex
1047	1	2	6	4	3	3	3	ST-22 complex
1048	8	113	5	121	10	25	6	
1049	32	39	44	82	104	44	36	
1050	33	39	122	140	113	43	17	ST-828 complex
1051	33	39	122	79	209	43	17	ST-828 complex
1052	53	39	44	156	118	35	17	
1053	33	39	44	157	104	43	36	ST-828 complex
1054	33	39	123	82	104	35	36	ST-828 complex
1055	33	39	30	82	104	47	17	ST-828 complex
1056	33	39	30	82	104	43	36	ST-828 complex
1057	33	39	124	78	104	43	17	ST-828 complex
1058	33	39	30	82	104	35	17	ST-828 complex
1059	33	153	30	82	104	35	17	ST-828 complex
1060	53	39	44	158	118	35	36	
1061	32	39	44	82	104	43	36	ST-828 complex
1062	53	38	44	81	118	85	36	
1063	33	39	30	140	113	43	41	ST-828 complex
1064	33	39	30	82	104	64	41	ST-828 complex
1065	103	110	30	159	210	164	79	
1066	33	39	122	82	104	43	41	ST-828 complex
1067	33	39	30	140	104	43	41	ST-828 complex
1068	33	39	30	78	104	43	17	ST-828 complex
1069	33	38	125	82	118	43	17	ST-828 complex
1070	33	39	30	79	118	117	17	ST-828 complex
1071	83	84	5	10	11	3	46	
1072	2	35	2	37	2	3	5	ST-206 complex
1073	8	10	2	2	89	12	6	ST-354 complex
1074	9	30	2	2	89	137	6	ST-460 complex
1075	24	30	5	2	22	3	6	ST-353 complex
1076	7	4	2	2	11	3	5	ST-61 complex
1077	1	2	42	4	98	165	34	
1078	7	17	2	15	86	3	1	ST-443 complex
1079	7	28	4	28	17	34	77	ST-573 complex
1080	10	2	107	137	120	76	1	
1081	1	3	6	4	54	91	6	ST-22 complex
1082	33	39	30	82	211	85	17	ST-828 complex
1083	18	33	22	160	139	86	16	
1084	87	39	30	82	104	44	74	ST-828 complex
1085	1	2	3	4	5	9	7	ST-42 complex
1086	2	1	12	4	2	1	5	ST-21 complex
1087	33	35	30	82	104	43	17	ST-828 complex
1088	33	39	30	82	189	44	74	ST-828 complex
1089	33	38	66	82	104	43	17	ST-828 complex
1090	87	39	30	82	189	44	74	
1091	103	110	103	140	188	138	79	ST-1150 complex
1092	33	39	30	139	104	170	17	ST-828 complex
1093	53	38	44	82	104	35	17	
1094	119	39	30	82	118	44	36	
1095	53	39	30	82	104	44	36	ST-828 complex
1096	33	38	30	82	104	35	17	ST-828 complex
1097	53	38	30	81	104	44	36	
1098	33	39	123	82	113	35	36	
1099	33	38	30	167	104	35	17	ST-828 complex
1100	33	39	30	82	104	44	36	ST-828 complex
1101	33	39	30	82	189	43	41	ST-828 complex
1102	33	38	30	82	152	173	68	
1103	33	39	30	174	104	35	17	ST-828 complex
1104	33	39	30	82	104	85	68	ST-828 complex
1105	33	38	44	82	104	35	17	ST-828 complex
1106	33	39	30	82	189	43	68	ST-828 complex
1107	33	38	30	82	104	44	36	ST-828 complex
1108	33	39	30	78	113	43	17	ST-828 complex
1109	33	38	30	173	104	35	68	
1110	33	39	30	78	104	44	17	ST-828 complex
1111	33	38	30	167	104	85	36	
1112	33	39	30	82	104	43	68	ST-828 complex
1113	33	38	30	78	104	35	17	ST-828 complex
1114	32	39	30	82	104	35	17	ST-828 complex
1115	53	39	30	81	118	44	36	
1116	32	39	44	82	189	44	36	
1117	33	39	30	78	104	35	17	ST-828 complex
1118	33	38	30	173	104	47	68	
1119	33	39	30	82	113	43	41	ST-828 complex
1120	120	39	65	82	113	47	17	
1121	103	110	30	140	188	164	79	ST-1150 complex
1122	33	153	30	82	118	43	36	ST-828 complex
1123	53	38	44	82	118	35	36	
1124	33	38	30	82	152	44	17	ST-828 complex
1125	33	38	134	161	104	43	17	ST-828 complex
1126	33	39	30	140	104	47	97	ST-828 complex
1127	33	153	30	82	104	43	17	ST-828 complex
1128	53	38	44	78	118	35	36	
1129	103	110	2	140	104	164	79	ST-1150 complex
1130	33	38	30	82	104	43	68	ST-828 complex
1131	32	38	44	82	104	35	36	
1132	32	160	44	82	104	44	36	
1133	33	39	30	78	104	173	17	ST-828 complex
1134	33	38	30	82	104	173	68	ST-828 complex
1135	103	110	30	162	188	164	99	
1136	103	110	103	140	218	166	79	ST-1150 complex
1137	33	161	122	140	113	43	17	
1138	103	110	30	162	188	164	79	ST-1150 complex
1139	53	38	44	82	118	85	36	
1140	33	39	30	174	113	35	17	ST-828 complex
1141	33	39	30	173	113	43	68	ST-828 complex
1142	33	153	30	82	104	43	36	ST-828 complex
1143	32	38	44	82	104	43	36	
1144	53	38	44	81	118	35	36	
1145	33	39	30	82	104	44	17	ST-828 complex
1146	33	39	134	79	118	117	17	
1147	53	38	30	82	118	44	36	
1148	33	39	122	82	113	43	17	ST-828 complex
1149	115	39	30	140	104	43	41	ST-828 complex
1150	103	110	103	140	188	169	79	ST-1150 complex
1151	32	39	30	115	104	85	17	ST-828 complex
1152	33	39	134	82	104	117	17	ST-828 complex
1153	33	39	30	82	118	35	17	ST-828 complex
1154	33	39	30	166	104	47	97	ST-828 complex
1155	103	110	30	171	188	169	96	ST-1150 complex
1156	33	39	30	79	104	64	17	ST-828 complex
1157	33	153	30	173	104	43	36	ST-828 complex
1158	33	39	134	79	104	47	17	ST-828 complex
1159	33	39	134	79	215	171	17	
1160	115	39	30	140	104	43	36	ST-828 complex
1161	103	110	103	171	188	169	79	ST-1150 complex
1162	7	2	5	2	2	67	6	ST-353 complex
1163	33	39	30	140	189	47	79	
1164	116	39	30	82	113	47	36	
1165	32	38	44	82	118	43	36	
1166	33	39	30	79	104	44	17	ST-828 complex
1167	33	39	122	79	113	43	41	
1168	33	39	128	82	113	117	36	
1169	33	39	65	82	189	47	17	ST-828 complex
1170	33	39	30	82	104	47	41	ST-828 complex
1171	33	39	30	82	104	47	79	ST-828 complex
1172	53	39	44	82	118	35	36	
1173	33	39	30	82	113	56	17	ST-828 complex
1174	33	110	65	82	113	47	17	
1175	33	39	65	82	216	47	17	ST-828 complex
1176	33	39	65	82	188	47	17	ST-828 complex
1177	33	38	30	82	104	85	17	ST-828 complex
1178	33	39	123	82	118	35	36	
1179	33	39	129	82	118	56	17	ST-828 complex
1180	33	39	122	82	209	47	17	ST-828 complex
1181	33	39	66	174	104	43	41	ST-828 complex
1182	33	110	30	82	113	43	41	ST-828 complex
1183	33	157	30	165	113	47	17	
1184	103	39	30	140	104	47	79	
1185	33	38	44	82	104	35	36	
1186	33	38	30	173	104	35	36	
1187	33	39	44	82	118	43	68	ST-828 complex
1188	103	110	103	140	104	169	79	ST-1150 complex
1189	117	39	131	82	113	56	17	
1190	33	39	65	82	113	164	17	ST-828 complex
1191	33	39	30	82	189	47	17	ST-828 complex
1192	103	110	103	172	188	169	79	ST-1150 complex
1193	33	39	30	140	104	47	79	ST-828 complex
1194	103	110	30	171	188	169	79	ST-1150 complex
1195	33	38	30	173	104	43	68	ST-828 complex
1196	33	38	132	82	104	85	68	
1197	33	39	30	82	118	35	68	ST-828 complex
1198	33	39	30	82	189	47	97	ST-828 complex
1199	103	110	103	172	217	169	79	ST-1150 complex
1200	53	38	30	82	118	35	36	
1201	33	39	30	81	118	43	36	ST-828 complex
1202	33	38	30	82	152	43	68	ST-828 complex
1203	33	39	30	82	113	47	68	ST-828 complex
1204	33	39	133	78	104	43	17	ST-828 complex
1205	118	39	30	79	104	47	17	ST-828 complex
1206	2	59	136	105	126	25	23	
1207	12	6	137	176	40	32	3	ST-179 complex
1208	2	1	1	3	2	1	103	ST-21 complex
1209	2	1	137	3	2	1	5	ST-21 complex
1210	7	17	5	2	224	3	6	ST-353 complex
1211	7	17	5	2	10	3	3	ST-353 complex
1212	8	2	5	53	11	3	105	ST-607 complex
1213	7	30	2	2	89	59	6	ST-460 complex
1214	2	1	1	53	2	1	5	ST-21 complex
1215	4	7	10	4	121	10	1	ST-45 complex
1216	9	2	5	53	11	3	1	ST-607 complex
1217	4	7	139	4	1	7	1	ST-45 complex
1218	7	17	12	2	11	3	6	ST-353 complex
1219	7	17	5	10	11	61	1	
1220	3	1	5	2	11	11	6	ST-49 complex
1221	2	84	5	10	119	178	26	
1222	4	7	140	4	1	7	1	ST-45 complex
1223	27	33	22	49	43	9	31	ST-1275 complex
1224	18	22	22	97	115	175	47	
1225	27	33	22	49	43	7	31	ST-1275 complex
1226	1	6	61	176	40	180	1	
1227	122	163	135	175	219	176	101	
1228	4	7	10	4	1	7	102	ST-45 complex
1229	97	121	97	125	174	152	100	
1230	1	6	61	4	40	180	1	
